EUinst_ODA_recipient,ODA_2016_MUSD
Turkey,3312.267758
Bilateral unspecified,1323.827104
Morocco,686.258653
Africa,685.906431
Ukraine,485.637465
Serbia,479.118257
Tunisia,422.065775
West Bank and Gaza Strip,419.022946
South of Sahara,399.886697
Afghanistan,399.810992
Europe,383.763585
Egypt,341.099348
Ethiopia,339.655911
Syrian Arab Republic,325.676534
India,303.015371
Jordan,252.604390
Mali,247.183855
Bosnia and Herzegovina,235.156043
Niger,231.027270
South Sudan,224.021254
Democratic Republic of the Congo,213.921718
Iraq,200.620856
Georgia,194.263198
Lebanon,175.905540
Somalia,158.628873
Burkina Faso,157.859427
Nigeria,156.497810
Kenya,152.968473
Chad,149.690534
Kosovo,141.335707
Pakistan,141.217627
Former Yugoslav Republic of Macedonia,136.248623
Zambia,126.894305
Myanmar,126.780416
Central African Republic,126.193199
China (People's Republic of,125.837532
Mexico,121.237311
Moldova,121.118401
Haiti,120.449088
Bangladesh,115.109223
Armenia,111.307144
Rwanda,110.842796
Côte d'Ivoire,109.862181
North of Sahara,108.036360
South Africa,107.840440
Tanzania,101.012551
Nepal,100.769125
Yemen,99.332733
Mozambique,96.764934
Sudan,94.751720
Albania,92.764625
Colombia,91.015736
Sierra Leone,87.325124
Malawi,84.398496
Senegal,79.847916
Brazil,78.780991
Cameroon,78.293553
Guinea,77.479000
Madagascar,77.245173
Bolivia,75.638184
Uganda,74.890777
South America,70.391795
Montenegro,68.003461
Cambodia,62.738560
Ghana,61.050813
Viet Nam,60.117527
Nicaragua,58.389948
Burundi,58.191927
Algeria,56.523399
Kyrgyzstan,55.921652
Indonesia,55.138715
Ecuador,51.624483
Zimbabwe,50.824726
Benin,50.116200
Dominican Republic,48.825158
Liberia,48.565067
Asia,48.468042
Honduras,47.782661
Angola,43.282572
Philippines,42.330797
Guyana,42.172365
Paraguay,40.620657
Togo,40.347164
Peru,40.181566
Middle East,39.657890
Cabo Verde,38.815493
Mauritius,38.773482
America,36.823444
Sri Lanka,36.582771
North & Central America,35.925699
Central Asia,32.200011
Swaziland,31.689428
Belarus,31.154716
West Indies,31.092071
Lao People's Democratic Republic,28.253113
Mauritania,27.955059
Azerbaijan,26.416820
Tajikistan,24.555734
Libya,23.755756
Guinea-Bissau,23.235254
Jamaica,23.111014
Costa Rica,21.395068
El Salvador,21.091397
Timor-Leste,20.281046
Guatemala,17.506513
Thailand,17.420325
Belize,17.155192
Oceania,16.785049
Congo,16.466106
Namibia,16.301327
Papua New Guinea,15.667279
Saint Lucia,15.343481
South Asia,14.888146
Far East Asia,14.746777
Eritrea,13.811202
Lesotho,13.695112
Mongolia,13.414862
Djibouti,13.173051
Iran,13.087869
Uzbekistan,12.666814
Cuba,12.369822
Saint Vincent and the Grenadines,12.004379
Vanuatu,11.921641
Fiji,11.358388
Kazakhstan,10.360986
Dominica,9.721696
Gabon,9.201592
Comoros,8.686730
Panama,8.643238
South & Central Asia,8.598518
Turkmenistan,8.058332
Seychelles,7.466062
Democratic People's Republic of Korea,6.895588
Argentina,6.793476
Gambia,6.737488
Bhutan,6.301902
Samoa,6.241225
Sao Tome and Principe,6.084275
Suriname,5.592735
Chile,5.463176
Saint Helena,5.314829
Botswana,3.311755
Tonga,3.266217
Kiribati,2.407708
Venezuela,2.063651
Uruguay,1.993343
Solomon Islands,1.245693
Cook Islands,1.105828
Maldives,1.064359
Malaysia,0.905430
Tuvalu,0.753113
States Ex-Yugoslavia,0.387117
Wallis and Futuna,0.332312
Marshall Islands,0.237244
Equatorial Guinea,0.075760
Montserrat,0.066493
Nauru,0.009952
Micronesia,0.009455
Niue,0.006237
