applicants,origin
125,Swaziland
25745,Côte d'Ivoire
590,Gabon
4590,Togo
88390,Somalia
38655,Guinea
4125,Burkina Faso
6805,Congo
36080,Democratic Republic of the Congo
1020,Tanzania
38815,Algeria
3490,Rwanda
1260,Djibouti
250,Zambia
120,Botswana
4455,Guinea-Bissau
240,Equatorial Guinea
126430,Eritrea
18695,Ethiopia
30,Seychelles
16215,Libya
28785,Morocco
45015,"Gambia, The"
5590,Sierra Leone
11915,Tunisia
2160,Burundi
1665,Liberia
3210,Chad
14550,Cameroon
2330,Niger
20,São Tomé and Príncipe
8090,Mauritania
40130,Mali
34635,Sudan
630,Madagascar
3130,Zimbabwe
118275,Nigeria
15,Lesotho
185,Namibia
70,Cape Verde
20905,Egypt
3120,Comoros
1105,Malawi
4005,Central African Republic
75,Mozambique
890,South Africa
605,Mauritius
535,South Sudan
30595,Senegal
2745,Western Sahara
2390,Kenya
2380,Benin
4090,Uganda
5710,Angola
22705,Ghana
